City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,cabo san lucas,22.8909,-109.9124,85.3,61,0,11.5,MX,2023-10-29 15:23:43
160,chernogolovka,56.0,38.3667,32.09,91,100,7.07,RU,2023-10-29 15:23:43
161,sumbawanga,-7.9667,31.6167,66.74,64,81,1.68,TZ,2023-10-29 15:23:43
162,kotlas,61.2611,46.6556,28.06,85,100,5.99,RU,2023-10-29 15:23:43
163,la passe,45.5549,-0.8967,55.98,90,100,11.39,FR,2023-10-29 15:23:43
164,maine soroa,13.2114,12.0241,87.06,16,6,7.38,NE,2023-10-29 15:23:44
165,karratha,-20.7377,116.8463,79.48,72,99,7.85,AU,2023-10-29 15:19:07
166,pitimbu,-7.4706,-34.8086,81.19,72,100,15.97,BR,2023-10-29 15:23:44
167,sioux city,42.5,-96.4003,31.91,62,0,9.22,US,2023-10-29 15:15:12
168,hailey,43.5196,-114.3153,37.9,51,0,10.36,US,2023-10-29 15:23:44
169,puerto aysen,-45.4,-72.7,41.72,90,99,4.07,CL,2023-10-29 15:19:07
170,iskateley,67.6803,53.1512,16.02,86,100,13.0,RU,2023-10-29 15:21:19
171,ferndale,42.4606,-83.1347,49.37,79,100,5.75,US,2023-10-29 15:14:44
172,bumba,2.1833,22.4667,78.44,70,80,0.85,CD,2023-10-29 15:23:45
173,laguna de perlas,12.3429,-83.6712,84.29,86,81,6.51,NI,2023-10-29 15:23:45
174,yuzhno-kurilsk,44.0306,145.8556,46.38,76,5,6.02,RU,2023-10-29 15:23:45
175,coquimbo,-29.9533,-71.3436,65.93,63,0,12.66,CL,2023-10-29 15:20:42
176,whitehorse,60.7161,-135.0538,28.02,93,100,13.8,CA,2023-10-29 15:23:46
177,khandyga,62.6667,135.6,19.49,98,100,2.04,RU,2023-10-29 15:23:46
178,ilulissat,69.2167,-51.1,28.42,64,75,4.61,GL,2023-10-29 15:23:46
179,estebania,18.4577,-70.6435,84.13,77,98,5.73,DO,2023-10-29 15:23:46
180,udachny,66.4167,112.4,-1.55,76,79,3.49,RU,2023-10-29 15:23:46
181,arraial do cabo,-22.9661,-42.0278,80.46,74,0,11.5,BR,2023-10-29 15:23:47
182,dori,14.0354,-0.0345,90.84,16,9,6.98,BF,2023-10-29 15:23:47
183,san antonio de pale,-1.4014,5.6325,79.86,82,7,8.86,GQ,2023-10-29 15:23:47
184,jaciara,-15.9653,-54.9683,94.62,36,82,4.34,BR,2023-10-29 15:23:47
185,illizi,26.4833,8.4667,82.2,17,10,5.95,DZ,2023-10-29 15:23:47
186,hirara,24.8,125.2833,73.67,73,40,5.75,JP,2023-10-29 15:23:48
187,kapa'a,22.0752,-159.319,82.72,74,75,5.75,US,2023-10-29 15:19:36
188,lerwick,60.1545,-1.1494,46.4,68,14,29.15,GB,2023-10-29 15:23:48
189,chinsali,-10.5414,32.0816,75.72,42,95,0.83,ZM,2023-10-29 15:23:48
190,broken hill,-31.95,141.4333,56.03,47,49,9.62,AU,2023-10-29 15:23:48
191,madalena,41.2162,-8.3345,55.98,96,100,10.31,PT,2023-10-29 15:23:49
192,ambodifotatra,-16.9833,49.85,77.54,81,84,8.14,MG,2023-10-29 15:23:49
193,ponta delgada,37.7333,-25.6667,59.72,82,20,10.36,PT,2023-10-29 15:21:44
194,saint-philippe,-21.3585,55.7679,76.59,87,53,10.78,RE,2023-10-29 15:19:25
195,sola,-13.8833,167.55,78.71,81,36,14.94,VU,2023-10-29 15:23:49
196,padang,-0.9492,100.3543,77.05,89,100,3.24,ID,2023-10-29 15:23:49
